"online_01" "online_02" "online_03" "online_04" "online_05" "online_06" "online_07" "online_08" "online_09" "online_10" "online_11" "online_12" "online_13" "online_14" "online_15" "online_16" "online_17" "online_18" "online_19" "online_20" "online_21" "online_22" "online_23" "online_24" "online_25" "online_26" "online_27" "online_28" "print_01" "print_02" "print_03" "print_04" "print_05" "print_06" "print_07" "print_08" "print_09" "print_10" "print_11" "print_12" "print_13" "print_14" "print_15" "print_16" "print_17" "print_18" "print_19" "print_20" "print_21"
"war" 0.8277289187791 0.451127819548872 0.300150075037519 0.502765208647562 0.617283950617284 0.249625561657514 0.467532467532468 0.35 0.455465587044534 0.196367206676485 0.25 0.560652395514781 0.0998502246630055 0.296150049358342 0.353356890459364 0.204185809086269 1.02140077821012 0.497512437810945 0.796812749003984 0.361383582860093 0.450225112556278 0.623052959501558 0.248756218905473 0.248138957816377 0.447984071677451 0.436046511627907 0.484966052376334 0.485672656629432 0.662589194699286 0.305654610290372 0.988142292490119 0.578642819568648 0.564102564102564 0.645802285146547 0.407331975560081 0.250375563345018 1.05527638190955 0.759109311740891 0.255232261357836 0.707070707070707 0.651955867602808 1.1734693877551 0.804424333836099 0.204185809086269 0.662565073355419 0.760649087221095 0.702106318956871 0.99009900990099 0.138376383763838
"des" 0.465597516813244 0.451127819548872 0.650325162581291 0.553041729512318 0.823045267489712 0.0499251123315027 0.103896103896104 0.2 0.151821862348178 0.294550810014728 0.65 0.407747196738022 0.149775336994508 0.296150049358342 0.908632004038364 0.510464522715671 0.535019455252918 0.248756218905473 0.99601593625498 0.619514713474445 0.750375187593797 0.571131879543095 0.149253731343284 0.198511166253102 0.298656047784968 0.62984496124031 0.193986420950533 0.825643516270034 0.509683995922528 0.916963830871116 0.543478260869565 0.789058390320884 0.512820512820513 0.29806259314456 0.661914460285132 0.801201802704056 0.150753768844221 0.607287449392713 0.71465033180194 0.353535353535354 0.200601805416249 0.255102040816327 0.703871292106586 1.22511485451761 0.993847610033128 0.456389452332657 0.45135406218656 0.247524752475248 0.830258302583026
"eine" 0.620796689084325 0.100250626566416 0.750375187593797 0.502765208647562 0.51440329218107 0.449326010983525 0.675324675324675 0.2 0.303643724696356 0.441826215022091 0.45 0.254841997961264 0.349475786320519 0.197433366238894 0.504795557799091 0.204185809086269 0.632295719844358 0.597014925373134 0.298804780876494 0.258131130614352 0.80040020010005 0.363447559709242 0.54726368159204 0.347394540942928 0.149328023892484 0.775193798449612 0.339476236663434 0.534239922292375 0.509683995922528 0.611309220580744 0.741106719367589 0.789058390320884 0.615384615384615 0.0993541977148535 0.661914460285132 0.600901352028042 0.753768844221106 0.455465587044534 0.408371618172537 0.454545454545455 0.250752256770311 0.255102040816327 0.502765208647562 0.561510974987238 0.56791292001893 0.608519269776876 0.551654964894684 0.445544554455446 0.415129151291513
"hrv" 0.517330574236937 0.451127819548872 0.350175087543772 0.301659125188537 0.874485596707819 0.199700449326011 0.467532467532468 0.25 0.202429149797571 0.147275405007364 1.25 0.305810397553517 0.349475786320519 0.197433366238894 0.60575466935891 0.35732516590097 0.243190661478599 0.447761194029851 1.04581673306773 1.29065565307176 0.400200100050025 0.415368639667705 0.149253731343284 0.148883374689826 0.39820806371329 0.968992248062015 0.4364694471387 1.35988343856241 0.458715596330275 0.407539480387163 0.148221343873518 0.631246712256707 0.358974358974359 0.198708395429707 0.152749490835031 0.701051577366049 0.50251256281407 0.404858299595142 0.35732516590097 0.353535353535354 0.351053159478435 0 0.100553041729512 0.204185809086269 0.189304306672977 0.202839756592292 0.401203610832498 0.346534653465347 0.553505535055351
"aus" 0.620796689084325 0.50125313283208 0.350175087543772 0.201106083459025 0.205761316872428 1.09835247129306 0.207792207792208 0.9 0.708502024291498 0.441826215022091 0.35 0.458715596330275 0.54917623564653 0.592300098716683 0.504795557799091 0.408371618172537 0.340466926070039 0.54726368159204 0.697211155378486 0.309757356737222 0.350175087543772 0.311526479750779 0.447761194029851 0.645161290322581 0.248880039820806 0.0484496124031008 0.484966052376334 0.194269062651773 0.407747196738022 0.203769740193581 0.296442687747036 0.420831141504471 0.307692307692308 0.496770988574267 0.458248472505092 0.500751126690035 0.452261306532663 0.303643724696356 0.306278713629403 0.252525252525253 0.401203610832498 0.306122448979592 0.351935646053293 0.816743236345074 0.709891150023663 0.354969574036511 0.45135406218656 0.247524752475248 0.230627306273063
"einer" 0.724262803931712 0.401002506265664 0.500250125062531 0.351935646053293 0.205761316872428 0.599101347978033 0.415584415584416 0.85 0.506072874493927 0.39273441335297 0.15 0.254841997961264 0.449326010983525 0.444225074037512 0.0504795557799091 0.561510974987238 0.340466926070039 0.348258706467662 0.199203187250996 0.619514713474445 0.400200100050025 0.415368639667705 0.696517412935323 0.992555831265509 0.298656047784968 0.678294573643411 0.339476236663434 0.291403593977659 0.458715596330275 0.254712175241977 0.494071146245059 0.315623356128354 0.205128205128205 0.248385494287134 0.0509164969450102 0.450676014021032 0.201005025125628 0.202429149797571 0.204185809086269 0.555555555555556 0.351053159478435 0.510204081632653 0.703871292106586 0.153139356814701 0.236630383341221 0.354969574036511 0.501504513540622 0.099009900990099 0.461254612546125
"als" 0.41386445938955 0.401002506265664 0.250125062531266 0.351935646053293 0.257201646090535 0.399400898652022 0.415584415584416 0.2 0.101214574898785 0.294550810014728 0.4 0.407747196738022 0.449326010983525 0.197433366238894 0.403836446239273 0.306278713629403 0.291828793774319 0.497512437810945 0.49800796812749 0.258131130614352 0.500250125062531 0.623052959501558 0.298507462686567 0.248138957816377 0.447984071677451 0.0968992248062016 0.193986420950533 0.582807187955318 0.203873598369011 0.458481915435558 0.345849802371542 0.315623356128354 0.564102564102564 0.347739692001987 0.509164969450102 0.100150225338007 0.301507537688442 0.455465587044534 0.510464522715671 0.303030303030303 0.351053159478435 0.816326530612245 0.502765208647562 0.612557427258805 0.662565073355419 0.659229208924949 0.401203610832498 0.396039603960396 0.461254612546125
"nicht" 0.206932229694775 0.50125313283208 0.600300150075038 0.0502765208647562 0.411522633744856 0.149775336994508 0.103896103896104 0.45 0.202429149797571 0.147275405007364 0.25 0.203873598369011 0.349475786320519 0.0493583415597236 0.151438667339727 0.255232261357836 0.437743190661479 0.0497512437810945 0.149402390438247 0.103252452245741 0.500250125062531 0.155763239875389 0 0.0992555831265509 0.199104031856645 0.484496124031008 0.0484966052376334 0.339970859640602 0.458715596330275 0.203769740193581 0.395256916996047 0.368227248816412 0.153846153846154 0.546448087431694 0.560081466395112 0.701051577366049 0.753768844221106 0.607287449392713 0.306278713629403 0.555555555555556 0.45135406218656 0.612244897959184 0.402212166918049 0.561510974987238 0.662565073355419 0.760649087221095 0.852557673019057 1.08910891089109 0.876383763837638
"u" 0.103466114847387 0.451127819548872 0.650325162581291 0.100553041729512 0.411522633744856 0.798801797304044 0.363636363636364 0.55 0.708502024291498 0.196367206676485 0.8 0.866462793068298 0.299550673989016 0.740375123395854 0.858152448258455 1.02092904543134 0.972762645914397 0.149253731343284 0.49800796812749 0.309757356737222 0.350175087543772 0.467289719626168 0.0497512437810945 1.24069478908189 0.846192135390742 0.532945736434108 0.2909796314258 0.437105390966489 0.101936799184506 0.254712175241977 0 0.157811678064177 0 0.14903129657228 0.0509164969450102 0.0500751126690035 0.402010050251256 0.101214574898785 0.0510464522715671 0.0505050505050505 0.551654964894684 0.102040816326531 0.0502765208647562 0 0.0946521533364884 0.101419878296146 0.902708124373119 0.247524752475248 0.0461254612546125
"finale" 0.41386445938955 0.651629072681704 0.250125062531266 0.402212166918049 0.102880658436214 0.649026460309536 0.103896103896104 0.95 1.01214574898785 0.589101620029455 0 0.91743119266055 1.8971542685971 0.54294175715696 0.353356890459364 0.561510974987238 0.0972762645914397 0.646766169154229 0 0 0 1.34994807892004 1.09452736318408 0.148883374689826 0.547536087605774 0.145348837209302 0.630455868089234 0 0.611620795107034 0 0 0.420831141504471 0.0512820512820513 0.29806259314456 0 0.200300450676014 0.201005025125628 0.253036437246964 0 0.505050505050505 0.250752256770311 0.204081632653061 0.150829562594268 0.0510464522715671 0 0.050709939148073 0.752256770310933 0.297029702970297 0
"zum" 0.155199172271081 0.200501253132832 0.200100050025012 0.150829562594268 0.771604938271605 0.0998502246630055 0.311688311688312 0.2 0.253036437246964 0.147275405007364 0.65 0.254841997961264 0.399400898652022 0.345508390918065 0.353356890459364 0.204185809086269 0.437743190661479 0.199004975124378 0.597609561752988 0.309757356737222 0.100050025012506 0.155763239875389 0.199004975124378 0 0.298656047784968 0.678294573643411 0.339476236663434 0.437105390966489 0.35677879714577 0.356597045338767 0.592885375494071 0.683850604944766 0.461538461538462 0.29806259314456 0.509164969450102 0.550826239359039 0.201005025125628 0.253036437246964 0.459418070444104 0.101010101010101 0.45135406218656 0.357142857142857 0.452488687782805 0.306278713629403 0.236630383341221 0.456389452332657 0.100300902708124 0.297029702970297 0.230627306273063
